CreatedDateYear,CreatedDateMonth,CreatedDateDay,requests
2018,03,27,7780
2014,08,18,5613
2012,11,04,4117
2013,12,13,6308
2010,12,21,6799
2014,07,23,5743
2016,11,14,6705
2017,06,12,7317
2016,07,13,6778
2017,04,04,7167
2015,10,22,5856
2011,10,28,8513
2014,11,13,6937
2010,11,29,6955
2011,10,24,6950
2011,05,21,3056
2012,10,24,5125
2015,11,04,6052
2019,02,12,6904
2017,03,13,7164
2013,06,07,5139
2016,07,12,6988
2018,01,27,5697
2013,12,31,4858
2010,01,21,6425
2014,06,24,6888
2014,02,27,6927
2015,01,04,3743
2017,12,20,6648
2016,05,17,6367
2017,08,15,6319
2016,02,19,6723
2011,03,07,5528
2014,07,19,4252
2014,05,26,4714
2017,09,04,5774
2015,07,18,4937
2017,02,23,6500
2011,08,03,4936
2017,11,15,7685
2015,05,04,6682
2014,10,04,4040
2010,07,13,6529
2010,05,22,3521
2015,05,07,6455
2018,04,16,9336
2013,03,25,5222
2012,08,27,5064
2016,10,10,5381
2017,04,03,7531
2011,08,09,5857
2012,07,01,2756
2014,06,06,5723
2012,09,02,3016
2011,11,06,3399
2012,11,02,7096
2012,06,17,2989
2016,10,15,5072
2012,12,05,5602
2013,05,01,5120
2012,01,22,3981
2012,06,26,5415
2010,07,15,5956
2017,05,06,5431
2018,05,27,4880
2012,07,24,5428
2015,11,25,5891
2017,01,25,7498
2016,02,26,7013
2011,06,15,5265
2018,03,20,7399
2014,03,25,5809
2014,07,20,4117
2017,06,20,7188
2014,11,10,6334
2014,08,07,5604
2019,03,19,7426
2017,10,29,5837
2018,05,01,8014
2018,12,03,7983
2012,10,25,4940
2012,09,23,2943
2016,11,22,7923
2016,05,25,7119
2013,08,05,5587
2016,08,29,6828
2013,01,23,8035
2013,02,08,5101
2017,07,22,5061
2012,01,02,3666
2018,12,09,5932
2013,12,08,4393
2011,10,05,5811
2014,12,18,5814
2011,06,16,5236
2018,12,27,6770
2018,01,21,5385
2015,11,20,6548
2012,11,12,4390
2016,10,29,5843
2010,01,22,5872
2015,08,28,5677
2016,09,06,6752
2010,11,26,4093
2014,07,11,5822
2015,07,07,6601
2018,01,31,7504
2013,04,01,5420
2012,03,28,5027
2015,05,31,5005
2010,10,09,3160
2013,11,29,4233
2012,05,25,4692
2017,07,16,5820
2012,09,05,4962
2010,04,21,6050
2016,11,07,8276
2013,06,29,3497
2011,08,17,5897
2017,01,30,7022
2013,09,25,4961
2010,09,04,3211
2011,02,07,6550
2012,10,18,5025
2019,02,28,6939
2016,06,05,4839
2015,12,12,4866
2010,07,07,6607
2012,12,04,5291
2010,07,26,6275
2014,10,08,5546
2018,04,10,7453
2011,09,05,3489
2011,09,23,6535
2013,07,03,5279
2010,05,08,3653
2014,01,07,10870
2012,05,26,2812
2012,08,12,2919
2012,06,04,5320
2010,09,25,3428
2015,01,12,6265
2015,08,31,6378
2013,10,22,5273
2010,09,03,5493
2015,09,09,6458
2017,06,27,7272
2015,03,10,7719
2017,11,13,7843
2013,11,09,3513
2013,12,18,5796
2018,06,09,6778
2017,09,12,7372
2013,07,01,5489
2012,01,18,6320
2014,07,08,6618
2010,05,20,5505
2012,05,18,4916
2010,12,28,4467
2014,09,14,3456
2011,04,16,3081
2013,07,08,5860
2016,01,07,6700
2015,02,12,6134
2018,09,18,7971
2019,01,25,7699
2016,06,28,7105
2010,09,05,2670
2011,09,02,5571
2014,05,20,6202
2013,03,07,5661
2017,10,04,7554
2017,09,05,7323
2015,12,28,6358
2012,03,29,5300
2015,07,04,4266
2014,02,22,4320
2013,06,17,5608
2016,12,07,7086
2017,08,09,7449
2011,11,19,4227
2013,09,28,3380
2015,08,14,5713
2017,10,11,7255
2010,03,22,6697
2010,08,23,6281
2014,11,02,6191
2014,05,29,5735
2018,01,09,9251
2018,02,27,7441
2018,12,05,8377
2011,10,15,3351
2014,08,22,4815
2017,04,17,6867
2016,04,21,5780
2012,04,19,4906
2013,10,23,6456
2011,06,29,5709
2016,04,24,4626
2017,04,18,6364
2018,10,21,6675
2015,04,24,6498
2012,08,30,5095
2015,03,09,7388
2015,12,23,5040
2014,09,25,4452
2015,09,21,6705
2015,02,13,7268
2018,04,26,7571
2012,09,20,4862
2010,11,20,3941
2011,03,05,2481
