USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day,Borough
997280,99999,KINGS POINT,NY,40.8,-73.77,64.3,57.9,73.8,,0.0,8.0,12.0,,0,,0,2010,10,8,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,67.6,62.8,72.0,,0.0,7.9,12.0,,0,,0,2010,10,9,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,43.9,38.5,48.9,,0.0,9.4,14.0,,0,,0,2010,11,1,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,50.8,48.7,56.3,,0.0,11.2,15.9,,0,,0,2010,11,10,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,48.3,43.2,58.1,,0.0,7.0,13.0,,0,,0,2010,11,11,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.9,45.5,63.1,,0.0,4.9,8.0,,0,,0,2010,11,12,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,53.9,46.2,67.5,,0.0,3.0,5.1,,0,,0,2010,11,13,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,50.5,44.2,58.5,,0.0,2.7,6.0,,0,,0,2010,11,14,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,51.4,48.4,55.8,,0.0,2.5,7.0,,0,,0,2010,11,15,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,52.6,50.4,55.8,,0.0,2.0,6.0,,0,,0,2010,11,16,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,58.3,54.7,61.0,,0.0,15.6,27.0,,0,,0,2010,11,17,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,52.1,48.2,55.0,,0.0,12.6,25.1,,0,,0,2010,11,18,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,46.4,42.4,53.2,,0.0,8.3,14.0,,0,,0,2010,11,19,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,44.7,40.6,50.9,,0.0,8.7,13.0,,0,,0,2010,11,2,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,46.7,40.6,54.1,,0.0,9.2,14.0,,0,,0,2010,11,20,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,45.4,39.9,53.1,,0.0,7.0,15.0,,0,,0,2010,11,21,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,49.7,41.0,59.9,,0.0,5.4,13.0,,0,,0,2010,11,22,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,55.6,51.3,60.3,,0.0,7.4,11.1,,0,,0,2010,11,23,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,49.0,42.4,60.6,,0.0,13.9,22.0,,0,,0,2010,11,24,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,41.3,39.4,45.9,,0.0,5.0,12.0,,0,,0,2010,11,25,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.8,40.3,53.2,,0.0,8.3,15.9,,0,,0,2010,11,26,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,40.6,36.7,46.2,,0.0,15.1,22.9,,0,,0,2010,11,27,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,41.4,36.9,47.8,,0.0,7.5,18.1,,0,,0,2010,11,28,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,42.3,36.1,48.6,,0.0,3.2,8.0,,0,,0,2010,11,29,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,45.8,40.1,51.3,,0.0,3.6,11.1,,0,,0,2010,11,3,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.7,40.8,53.4,,0.0,4.2,11.1,,0,,0,2010,11,30,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,48.0,46.4,49.8,,0.0,5.1,11.1,,0,,0,2010,11,4,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,49.4,46.6,52.3,,0.0,8.7,15.0,,0,,0,2010,11,5,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,47.8,44.1,52.0,,0.0,8.4,12.0,,0,,0,2010,11,6,BRONX
997280,99999,KINGS POINT,NY,40.8,-73.77,44.8,40.1,49.6,,0.0,10.7,15.0,,0,,0,2010,11,7,BRONX
