Year,Month,Borough,requests
2014,05,Unspecified,1805
2015,07,Unspecified,2545
2015,02,Unspecified,1965
2015,09,Unspecified,1839
2015,03,Unspecified,2725
2015,05,Unspecified,3270
2015,12,Unspecified,1681
2015,01,Unspecified,1864
2015,04,Unspecified,3367
2015,11,Unspecified,1645
2015,08,Unspecified,2119
2015,06,Unspecified,3659
2015,10,Unspecified,2235
2016,12,Unspecified,1415
2016,02,Unspecified,1586
2016,09,Unspecified,1616
2016,03,Unspecified,1694
2016,01,Unspecified,1746
2016,11,Unspecified,1364
2016,04,Unspecified,1494
2016,10,Unspecified,1481
2016,07,Unspecified,1786
2016,08,Unspecified,1629
2016,06,Unspecified,1491
2016,05,Unspecified,1440
2017,11,Unspecified,1310
2017,07,Unspecified,1464
2017,08,Unspecified,1577
2017,06,Unspecified,1597
2017,03,Unspecified,1500
2017,01,Unspecified,2433
2017,02,Unspecified,1279
2017,09,Unspecified,1293
2017,04,Unspecified,1363
2017,10,Unspecified,1271
2017,12,Unspecified,3780
2017,05,Unspecified,1479
2018,11,Unspecified,1630
2018,04,Unspecified,2505
2018,10,Unspecified,1828
2018,12,Unspecified,1476
2018,06,Unspecified,2072
2018,03,Unspecified,2353
2018,07,Unspecified,2151
2018,05,Unspecified,2372
2018,09,Unspecified,1880
2018,01,Unspecified,4575
2018,08,Unspecified,2255
2018,02,Unspecified,2327
2019,01,Unspecified,1784
2019,03,Unspecified,1909
2019,04,Unspecified,795
2019,02,Unspecified,1653
2010,10,STATEN ISLAND,5976
2010,01,STATEN ISLAND,6632
2010,06,STATEN ISLAND,6597
2010,07,STATEN ISLAND,6158
2010,02,STATEN ISLAND,7479
2010,08,STATEN ISLAND,6525
2010,03,STATEN ISLAND,10924
2010,04,STATEN ISLAND,7209
2010,12,STATEN ISLAND,5196
2010,09,STATEN ISLAND,6254
2010,05,STATEN ISLAND,6880
2010,11,STATEN ISLAND,5060
2011,12,STATEN ISLAND,6282
2011,03,STATEN ISLAND,8534
2011,07,STATEN ISLAND,6944
2011,04,STATEN ISLAND,7150
2011,09,STATEN ISLAND,8488
2011,01,STATEN ISLAND,6518
2011,06,STATEN ISLAND,7633
2011,05,STATEN ISLAND,7235
2011,10,STATEN ISLAND,7905
2011,08,STATEN ISLAND,9353
2011,02,STATEN ISLAND,7912
2011,11,STATEN ISLAND,6698
2012,05,STATEN ISLAND,7165
2012,08,STATEN ISLAND,7421
2012,12,STATEN ISLAND,6262
2012,07,STATEN ISLAND,7477
2012,01,STATEN ISLAND,6697
2012,06,STATEN ISLAND,7368
2012,03,STATEN ISLAND,6741
2012,02,STATEN ISLAND,5733
2012,09,STATEN ISLAND,6641
2012,10,STATEN ISLAND,7481
2012,04,STATEN ISLAND,6243
2012,11,STATEN ISLAND,7488
2013,10,STATEN ISLAND,6577
2013,07,STATEN ISLAND,7909
2013,12,STATEN ISLAND,5537
2013,04,STATEN ISLAND,7418
2013,05,STATEN ISLAND,7506
2013,03,STATEN ISLAND,6962
2013,08,STATEN ISLAND,7128
2013,01,STATEN ISLAND,7718
2013,11,STATEN ISLAND,5379
2013,02,STATEN ISLAND,6333
2013,06,STATEN ISLAND,7949
2013,09,STATEN ISLAND,6471
2014,03,STATEN ISLAND,8982
2014,02,STATEN ISLAND,9496
2014,11,STATEN ISLAND,6041
2014,04,STATEN ISLAND,8579
2014,09,STATEN ISLAND,7391
2014,10,STATEN ISLAND,7786
2014,01,STATEN ISLAND,9363
2014,06,STATEN ISLAND,9259
2014,05,STATEN ISLAND,9188
2014,12,STATEN ISLAND,6795
2014,07,STATEN ISLAND,8843
2014,08,STATEN ISLAND,7877
2015,09,STATEN ISLAND,8957
2015,01,STATEN ISLAND,7079
2015,04,STATEN ISLAND,9366
2015,06,STATEN ISLAND,10350
2015,05,STATEN ISLAND,9488
2015,08,STATEN ISLAND,8722
2015,02,STATEN ISLAND,8896
2015,07,STATEN ISLAND,9567
2015,11,STATEN ISLAND,7437
2015,10,STATEN ISLAND,8260
2015,12,STATEN ISLAND,6913
2015,03,STATEN ISLAND,11375
2016,02,STATEN ISLAND,8097
2016,09,STATEN ISLAND,8466
2016,06,STATEN ISLAND,10182
2016,12,STATEN ISLAND,9314
2016,08,STATEN ISLAND,9267
2016,11,STATEN ISLAND,8435
2016,04,STATEN ISLAND,8891
2016,10,STATEN ISLAND,9301
2016,01,STATEN ISLAND,7795
2016,03,STATEN ISLAND,9174
2016,05,STATEN ISLAND,8826
2016,07,STATEN ISLAND,9798
2017,11,STATEN ISLAND,10321
2017,10,STATEN ISLAND,10639
2017,04,STATEN ISLAND,10859
2017,09,STATEN ISLAND,10638
2017,01,STATEN ISLAND,9877
2017,05,STATEN ISLAND,11634
2017,08,STATEN ISLAND,10853
2017,12,STATEN ISLAND,7337
2017,06,STATEN ISLAND,12415
2017,07,STATEN ISLAND,10736
2017,03,STATEN ISLAND,10204
2017,02,STATEN ISLAND,8820
2018,04,STATEN ISLAND,11870
2018,05,STATEN ISLAND,13417
2018,08,STATEN ISLAND,13221
2018,06,STATEN ISLAND,13658
2018,01,STATEN ISLAND,9825
2018,02,STATEN ISLAND,10654
2018,07,STATEN ISLAND,13362
2018,10,STATEN ISLAND,11952
2018,11,STATEN ISLAND,11087
2018,09,STATEN ISLAND,12342
2018,12,STATEN ISLAND,11852
2018,03,STATEN ISLAND,12464
2019,02,STATEN ISLAND,10919
2019,03,STATEN ISLAND,11758
2019,01,STATEN ISLAND,12835
2019,04,STATEN ISLAND,4983
