CreatedDateYear,CreatedDateMonth,Borough,ComplaintType,requests
2010,07,STATEN ISLAND,Street Condition,703
2010,07,BROOKLYN,Street Condition,1862
2010,07,QUEENS,Street Light Condition,2782
2010,07,BRONX,Blocked Driveway,599
2010,07,QUEENS,Noise - Residential,1942
2010,07,STATEN ISLAND,Traffic Signal Condition,135
2010,08,QUEENS,Street Light Condition,3194
2010,08,QUEENS,Water System,1684
2010,08,STATEN ISLAND,Street Condition,613
2010,08,BRONX,Street Light Condition,1871
2010,08,STATEN ISLAND,Water System,593
2010,08,BRONX,Water System,1557
2010,08,STATEN ISLAND,Traffic Signal Condition,103
2010,08,Unspecified,Water System,5
2010,08,QUEENS,Noise - Residential,2277
2010,08,QUEENS,General Construction/Plumbing,1482
2010,08,BROOKLYN,Street Light Condition,2357
2010,08,BRONX,Blocked Driveway,537
2010,08,BRONX,General Construction/Plumbing,536
2010,08,BROOKLYN,General Construction/Plumbing,1705
2010,08,QUEENS,Street Condition,1568
2010,08,Unspecified,Traffic Signal Condition,27
2010,08,BROOKLYN,Water System,1846
2010,08,STATEN ISLAND,Noise - Residential,365
2010,08,MANHATTAN,Traffic Signal Condition,973
2010,08,MANHATTAN,Blocked Driveway,141
2010,08,MANHATTAN,General Construction/Plumbing,1101
2010,08,Unspecified,Street Light Condition,133
2010,08,MANHATTAN,Street Condition,1360
2010,08,BROOKLYN,Blocked Driveway,1397
2010,08,QUEENS,Blocked Driveway,1574
2010,08,QUEENS,Traffic Signal Condition,957
2010,08,MANHATTAN,Street Light Condition,1050
2010,08,BROOKLYN,Noise - Residential,3084
2010,08,STATEN ISLAND,Street Light Condition,649
2010,08,BRONX,Street Condition,930
2010,08,MANHATTAN,Water System,1217
2010,08,MANHATTAN,Noise - Residential,1460
2010,08,BRONX,Traffic Signal Condition,454
2010,08,STATEN ISLAND,General Construction/Plumbing,256
2010,08,BRONX,Noise - Residential,2424
2010,08,BROOKLYN,Street Condition,1844
2010,08,BROOKLYN,Traffic Signal Condition,1006
2010,08,STATEN ISLAND,Blocked Driveway,131
2010,09,QUEENS,Blocked Driveway,1834
2010,09,BROOKLYN,General Construction/Plumbing,1596
2010,09,QUEENS,Street Light Condition,3386
2010,09,Unspecified,Traffic Signal Condition,75
2010,09,STATEN ISLAND,Blocked Driveway,137
2010,09,MANHATTAN,Noise - Residential,1716
2010,09,QUEENS,Street Condition,1398
2010,09,STATEN ISLAND,Street Condition,505
2010,09,STATEN ISLAND,Street Light Condition,480
2010,09,BRONX,Water System,869
2010,09,MANHATTAN,Water System,899
2010,09,BROOKLYN,Water System,1094
2010,09,MANHATTAN,Traffic Signal Condition,1047
2010,09,STATEN ISLAND,Noise - Residential,327
2010,09,STATEN ISLAND,Water System,261
2010,09,BRONX,General Construction/Plumbing,514
2010,09,BRONX,Noise - Residential,2652
2010,09,QUEENS,Traffic Signal Condition,1054
2010,09,QUEENS,General Construction/Plumbing,1286
2010,09,STATEN ISLAND,Traffic Signal Condition,128
2010,09,BROOKLYN,Street Light Condition,2711
2010,09,MANHATTAN,General Construction/Plumbing,1060
2010,09,MANHATTAN,Street Light Condition,1329
2010,09,Unspecified,Street Light Condition,212
2010,09,BROOKLYN,Noise - Residential,3141
2010,09,Unspecified,Water System,2
2010,09,MANHATTAN,Blocked Driveway,170
2010,09,STATEN ISLAND,General Construction/Plumbing,249
2010,09,MANHATTAN,Street Condition,1817
2010,09,BROOKLYN,Traffic Signal Condition,1125
2010,09,BRONX,Traffic Signal Condition,472
2010,09,BROOKLYN,Blocked Driveway,1528
2010,09,BRONX,Street Light Condition,1924
2010,09,QUEENS,Noise - Residential,2331
2010,09,QUEENS,Water System,1291
2010,09,BROOKLYN,Street Condition,1572
2010,09,BRONX,Street Condition,738
2010,09,BRONX,Blocked Driveway,581
2010,10,STATEN ISLAND,Street Condition,636
2010,10,BROOKLYN,Noise - Residential,2908
2010,10,STATEN ISLAND,Blocked Driveway,158
2010,10,BROOKLYN,Street Light Condition,2939
2010,10,MANHATTAN,Traffic Signal Condition,1247
2010,10,QUEENS,Blocked Driveway,1978
2010,10,QUEENS,Water System,1427
2010,10,MANHATTAN,Water System,658
2010,10,STATEN ISLAND,Traffic Signal Condition,110
2010,10,STATEN ISLAND,Street Light Condition,549
2010,10,BROOKLYN,General Construction/Plumbing,1415
2010,10,MANHATTAN,General Construction/Plumbing,890
2010,10,BRONX,General Construction/Plumbing,469
2010,10,BRONX,Street Condition,610
2010,10,Unspecified,Street Light Condition,75
2010,10,BROOKLYN,Water System,717
2010,10,BRONX,Blocked Driveway,662
2010,10,Unspecified,Traffic Signal Condition,17
2010,10,BROOKLYN,Traffic Signal Condition,1222
2010,10,Unspecified,Water System,6
2010,10,MANHATTAN,Noise - Residential,2676
2010,10,STATEN ISLAND,General Construction/Plumbing,241
2010,10,QUEENS,Street Condition,1295
2010,10,STATEN ISLAND,Noise - Residential,272
2010,10,QUEENS,Street Light Condition,3391
2010,10,MANHATTAN,Street Light Condition,1377
2010,10,QUEENS,Noise - Residential,1955
2010,10,MANHATTAN,Blocked Driveway,177
2010,10,BRONX,Noise - Residential,2912
2010,10,QUEENS,Traffic Signal Condition,1022
2010,10,BRONX,Street Light Condition,2011
2010,10,MANHATTAN,Street Condition,1819
2010,10,STATEN ISLAND,Water System,402
2010,10,BROOKLYN,Blocked Driveway,1755
2010,10,QUEENS,General Construction/Plumbing,1167
2010,10,BRONX,Traffic Signal Condition,662
2010,10,BRONX,Water System,367
2010,10,BROOKLYN,Street Condition,1804
2010,11,QUEENS,Noise - Residential,1628
2010,11,BRONX,General Construction/Plumbing,494
2010,11,BRONX,Blocked Driveway,671
2010,11,STATEN ISLAND,Traffic Signal Condition,138
2010,11,BROOKLYN,Water System,887
2010,11,BROOKLYN,Street Condition,1740
2010,11,MANHATTAN,Street Light Condition,1105
2010,11,STATEN ISLAND,General Construction/Plumbing,191
2010,11,MANHATTAN,Water System,636
2010,11,QUEENS,Blocked Driveway,1824
2010,11,STATEN ISLAND,Water System,465
2010,11,BRONX,Street Condition,511
2010,11,Unspecified,Street Light Condition,171
2010,11,Unspecified,Water System,2
2010,11,MANHATTAN,Street Condition,1445
2010,11,QUEENS,Street Condition,1234
2010,11,QUEENS,Street Light Condition,2909
2010,11,QUEENS,Traffic Signal Condition,1024
2010,11,MANHATTAN,General Construction/Plumbing,563
2010,11,BROOKLYN,Traffic Signal Condition,1179
2010,11,MANHATTAN,Noise - Residential,2344
2010,11,BRONX,Street Light Condition,1570
2010,11,BROOKLYN,Noise - Residential,2557
2010,11,Unspecified,Traffic Signal Condition,11
2010,11,BROOKLYN,Blocked Driveway,1717
2010,11,MANHATTAN,Traffic Signal Condition,1096
2010,11,MANHATTAN,Blocked Driveway,141
2010,11,BRONX,Traffic Signal Condition,411
2010,11,QUEENS,General Construction/Plumbing,894
2010,11,STATEN ISLAND,Street Light Condition,469
2010,11,STATEN ISLAND,Noise - Residential,204
2010,11,BRONX,Noise - Residential,2820
2010,11,BROOKLYN,Street Light Condition,2479
2010,11,STATEN ISLAND,Blocked Driveway,141
2010,11,BROOKLYN,General Construction/Plumbing,1375
2010,11,QUEENS,Water System,1380
2010,11,STATEN ISLAND,Street Condition,501
2010,11,BRONX,Water System,386
2010,12,QUEENS,Street Condition,1061
2010,12,BRONX,Traffic Signal Condition,654
2010,12,BROOKLYN,Street Condition,1745
2010,12,STATEN ISLAND,Street Light Condition,411
2010,12,MANHATTAN,Water System,540
2010,12,STATEN ISLAND,Street Condition,506
2010,12,MANHATTAN,Noise - Residential,2107
2010,12,QUEENS,Street Light Condition,2639
2010,12,Unspecified,Traffic Signal Condition,37
2010,12,MANHATTAN,Street Light Condition,1299
2010,12,QUEENS,Blocked Driveway,2076
2010,12,BROOKLYN,Street Light Condition,2367
2010,12,BROOKLYN,General Construction/Plumbing,1061
2010,12,MANHATTAN,General Construction/Plumbing,477
2010,12,Unspecified,Water System,1
2010,12,STATEN ISLAND,Noise - Residential,175
2010,12,BRONX,General Construction/Plumbing,336
2010,12,STATEN ISLAND,Water System,461
2010,12,BRONX,Noise - Residential,2439
2010,12,STATEN ISLAND,General Construction/Plumbing,100
2010,12,BRONX,Street Light Condition,1738
2010,12,QUEENS,Noise - Residential,1451
2010,12,BRONX,Blocked Driveway,741
2010,12,BROOKLYN,Blocked Driveway,1770
2010,12,QUEENS,General Construction/Plumbing,538
2010,12,MANHATTAN,Street Condition,1273
2010,12,STATEN ISLAND,Blocked Driveway,191
2010,12,BRONX,Street Condition,513
2010,12,BROOKLYN,Traffic Signal Condition,1754
2010,12,BROOKLYN,Noise - Residential,2443
2010,12,MANHATTAN,Blocked Driveway,142
2010,12,QUEENS,Water System,1556
2010,12,Unspecified,Street Light Condition,159
2010,12,QUEENS,Traffic Signal Condition,1485
2010,12,STATEN ISLAND,Traffic Signal Condition,238
2010,12,BROOKLYN,Water System,936
2010,12,MANHATTAN,Traffic Signal Condition,1689
2010,12,BRONX,Water System,405
2011,01,MANHATTAN,Noise - Residential,2338
2011,01,MANHATTAN,Blocked Driveway,188
2011,01,STATEN ISLAND,Noise - Residential,172
2011,01,BROOKLYN,Traffic Signal Condition,1674
2011,01,STATEN ISLAND,Street Light Condition,403
2011,01,STATEN ISLAND,Traffic Signal Condition,289
2011,01,Unspecified,Street Light Condition,116
2011,01,MANHATTAN,Street Condition,1542
2011,01,BROOKLYN,Water System,849
2011,01,QUEENS,Street Light Condition,2422
2011,01,QUEENS,Blocked Driveway,2733
2011,01,MANHATTAN,Street Light Condition,1158
2011,01,MANHATTAN,Water System,588
2011,01,BROOKLYN,Street Light Condition,2161
2011,01,QUEENS,General Construction/Plumbing,588
2011,01,BRONX,Street Condition,749
2011,01,BROOKLYN,Noise - Residential,2707
2011,01,BRONX,General Construction/Plumbing,335
2011,01,MANHATTAN,General Construction/Plumbing,439
2011,01,BROOKLYN,Street Condition,2347
2011,01,BRONX,Water System,384
2011,01,STATEN ISLAND,Blocked Driveway,317
2011,01,QUEENS,Noise - Residential,1492
2011,01,BRONX,Blocked Driveway,969
2011,01,BRONX,Noise - Residential,2746
2011,01,QUEENS,Street Condition,1765
2011,01,BRONX,Traffic Signal Condition,748
2011,01,Unspecified,Traffic Signal Condition,40
2011,01,STATEN ISLAND,General Construction/Plumbing,109
2011,01,BROOKLYN,General Construction/Plumbing,925
2011,01,STATEN ISLAND,Street Condition,868
2011,01,BROOKLYN,Blocked Driveway,2554
2011,01,Unspecified,Water System,1
2011,01,STATEN ISLAND,Water System,414
2011,01,BRONX,Street Light Condition,1740
2011,01,QUEENS,Traffic Signal Condition,1544
2011,01,QUEENS,Water System,1582
2011,01,MANHATTAN,Traffic Signal Condition,1498
2011,02,STATEN ISLAND,Traffic Signal Condition,155
2011,02,QUEENS,Blocked Driveway,2141
2011,02,STATEN ISLAND,Street Condition,2415
2011,02,BRONX,Water System,420
2011,02,Unspecified,Traffic Signal Condition,36
2011,02,BROOKLYN,Traffic Signal Condition,1336
2011,02,BRONX,Street Light Condition,1577
2011,02,STATEN ISLAND,Blocked Driveway,174
2011,02,MANHATTAN,Street Condition,3694
2011,02,QUEENS,Noise - Residential,1302
2011,02,BROOKLYN,Street Light Condition,2164
2011,02,QUEENS,Traffic Signal Condition,1256
2011,02,MANHATTAN,General Construction/Plumbing,442
2011,02,BROOKLYN,Water System,981
2011,02,Unspecified,Street Light Condition,96
2011,02,BRONX,General Construction/Plumbing,320
2011,02,BROOKLYN,Street Condition,3933
2011,02,MANHATTAN,Blocked Driveway,130
2011,02,BRONX,Street Condition,1475
2011,02,MANHATTAN,Water System,576
2011,02,QUEENS,General Construction/Plumbing,549
2011,02,BROOKLYN,General Construction/Plumbing,1115
2011,02,BRONX,Noise - Residential,2459
2011,02,MANHATTAN,Traffic Signal Condition,1148
2011,02,QUEENS,Street Light Condition,2500
2011,02,STATEN ISLAND,Noise - Residential,148
2011,02,MANHATTAN,Noise - Residential,2272
2011,02,BROOKLYN,Blocked Driveway,1948
2011,02,QUEENS,Water System,1350
2011,02,STATEN ISLAND,Water System,339
2011,02,BROOKLYN,Noise - Residential,2472
2011,02,STATEN ISLAND,General Construction/Plumbing,122
2011,02,BRONX,Blocked Driveway,807
2011,02,QUEENS,Street Condition,4313
2011,02,STATEN ISLAND,Street Light Condition,572
2011,02,BRONX,Traffic Signal Condition,827
2011,02,MANHATTAN,Street Light Condition,1062
2011,03,MANHATTAN,General Construction/Plumbing,599
2011,03,MANHATTAN,Traffic Signal Condition,993
2011,03,MANHATTAN,Street Condition,3200
2011,03,QUEENS,Street Condition,4604
2011,03,BROOKLYN,Street Condition,3771
2011,03,STATEN ISLAND,Street Condition,2220
2011,03,Unspecified,Street Light Condition,168
2011,03,QUEENS,Noise - Residential,1589
2011,03,BRONX,Water System,516
2011,03,BRONX,Street Light Condition,1770
2011,03,MANHATTAN,Street Light Condition,1372
2011,03,QUEENS,Blocked Driveway,1738
2011,03,QUEENS,General Construction/Plumbing,785
2011,03,BRONX,Noise - Residential,2567
2011,03,QUEENS,Traffic Signal Condition,1217
2011,03,STATEN ISLAND,General Construction/Plumbing,170
2011,03,STATEN ISLAND,Blocked Driveway,117
2011,03,STATEN ISLAND,Traffic Signal Condition,238
2011,03,STATEN ISLAND,Water System,446
2011,03,BROOKLYN,Water System,945
2011,03,BROOKLYN,Blocked Driveway,1666
2011,03,QUEENS,Water System,1295
2011,03,STATEN ISLAND,Noise - Residential,212
2011,03,BRONX,Street Condition,1934
2011,03,MANHATTAN,Blocked Driveway,153
2011,03,MANHATTAN,Noise - Residential,2311
2011,03,QUEENS,Street Light Condition,3237
2011,03,STATEN ISLAND,Street Light Condition,594
2011,03,BROOKLYN,Traffic Signal Condition,1342
2011,03,MANHATTAN,Water System,631
2011,03,BRONX,General Construction/Plumbing,588
2011,03,Unspecified,Street Condition,1
2011,03,BRONX,Traffic Signal Condition,689
2011,03,BROOKLYN,General Construction/Plumbing,1335
2011,03,BROOKLYN,Noise - Residential,2596
2011,03,BRONX,Blocked Driveway,667
2011,03,BROOKLYN,Street Light Condition,2634
2011,03,Unspecified,Traffic Signal Condition,49
2011,04,STATEN ISLAND,Street Condition,1360
2011,04,BRONX,Street Light Condition,1609
2011,04,BROOKLYN,General Construction/Plumbing,1784
