Month,Day,requests,USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
9,1,415,997272,99999,BERGEN POINT,NY,40.639,-74.146,65.2,56.8,73.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
1,1,752,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,32.6,28.0,39.9,9.9,0.0,14.4,22.9,27.0,0,0.0,0,0,0,0,1,0
7,1,879,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,81.8,70.0,93.0,65.8,0.0,9.2,18.1,26.0,0,0.0,0,0,1,0,0,0
9,1,2286,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,81.1,75.0,91.0,66.7,0.0,7.6,13.0,0.0,0,0.0,0,0,1,0,0,0
10,1,967,997280,99999,KINGS POINT,NY,40.8,-73.77,59.2,55.2,65.7,0.0,0.0,9.8,17.1,0.0,0,0.0,0,1,0,0,0,0
4,1,1677,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,41.5,34.0,53.1,22.1,0.03,10.0,15.9,24.1,1,0.0,0,0,0,0,1,0
4,1,300,997272,99999,BERGEN POINT,NY,40.639,-74.146,41.4,37.6,47.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
9,1,245,997272,99999,BERGEN POINT,NY,40.639,-74.146,84.3,74.8,92.7,0.0,0.0,3.0,8.0,0.0,0,0.0,0,0,0,0,0,1
2,1,2834,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,38.1,26.1,48.0,29.5,0.05,8.9,15.9,22.0,0,0.0,0,0,1,0,0,0
5,1,394,997280,99999,KINGS POINT,NY,40.8,-73.77,63.3,54.5,70.3,0.0,0.0,5.1,9.9,0.0,0,0.0,0,1,0,0,0,0
2,1,1321,997280,99999,KINGS POINT,NY,40.8,-73.77,34.8,30.9,40.1,0.0,0.0,10.4,18.1,0.0,0,0.0,0,1,0,0,0,0
4,1,1304,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,53.0,46.9,63.0,42.0,0.01,8.4,13.0,0.0,0,0.0,0,0,0,0,1,0
9,1,1001,997280,99999,KINGS POINT,NY,40.8,-73.77,64.2,56.5,72.7,0.0,0.0,11.4,15.9,0.0,0,0.0,0,1,0,0,0,0
2,1,889,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,27.4,14.0,36.0,12.3,0.0,9.8,19.0,24.1,0,5.9,0,0,0,0,1,0
1,1,1217,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,29.3,21.0,34.0,11.4,0.0,10.0,17.1,25.1,0,0.0,0,0,1,0,0,0
10,1,1215,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,68.3,62.1,77.0,63.8,1.69,17.8,27.0,38.1,1,0.0,0,0,1,0,0,0
6,1,1195,997280,99999,KINGS POINT,NY,40.8,-73.77,69.0,63.1,77.2,0.0,0.0,3.5,9.9,0.0,0,0.0,0,1,0,0,0,0
11,1,1031,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,63.6,53.1,69.1,57.7,0.05,16.6,25.1,31.1,1,0.0,0,0,0,0,1,0
6,1,1166,725053,94728,CENTRAL PARK,NY,40.779,-73.969,58.0,55.0,69.1,55.0,1.89,7.9,14.0,22.0,1,0.0,0,0,0,1,0,0
4,1,394,997272,99999,BERGEN POINT,NY,40.639,-74.146,45.5,38.1,58.3,0.0,0.0,6.4,15.0,0.0,0,0.0,0,0,0,0,0,1
8,1,1436,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,75.0,71.1,82.4,69.5,0.0,7.0,12.0,0.0,1,0.0,0,0,0,0,1,0
4,1,611,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,45.3,39.0,52.0,36.4,0.01,6.3,15.9,20.0,1,0.0,0,0,0,0,1,0
2,1,1321,725053,94728,CENTRAL PARK,NY,40.779,-73.969,52.1,36.0,59.0,35.4,0.0,5.0,7.0,18.1,1,3.9,0,0,0,1,0,0
6,1,929,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,70.4,69.1,73.0,66.1,0.0,1.1,4.1,0.0,0,0.0,0,0,0,1,0,0
10,1,1784,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,59.9,55.9,78.1,50.0,0.05,13.7,22.0,25.1,1,0.0,0,0,1,0,0,0
11,1,619,725053,94728,CENTRAL PARK,NY,40.779,-73.969,46.9,43.0,51.1,36.6,0.01,5.6,11.1,17.1,0,0.0,0,0,0,1,0,0
3,1,1775,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,50.9,43.0,57.9,50.3,0.0,9.0,18.1,0.0,1,0.0,0,0,1,0,0,0
5,1,1172,997280,99999,KINGS POINT,NY,40.8,-73.77,52.3,48.6,62.6,0.0,0.0,5.4,15.0,0.0,0,0.0,0,1,0,0,0,0
1,1,87,997272,99999,BERGEN POINT,NY,40.639,-74.146,38.7,36.9,40.3,0.0,0.0,7.3,15.0,0.0,0,0.0,0,0,0,0,0,1
12,1,1256,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,55.6,46.0,59.0,51.2,0.18,20.5,31.1,42.9,1,0.0,0,0,1,0,0,0
12,1,1416,997280,99999,KINGS POINT,NY,40.8,-73.77,44.9,39.7,50.5,0.0,0.0,11.2,16.9,0.0,0,0.0,0,1,0,0,0,0
11,1,200,997272,99999,BERGEN POINT,NY,40.639,-74.146,44.0,38.8,49.5,0.0,0.0,11.4,18.1,0.0,0,0.0,0,0,0,0,0,1
4,1,724,997280,99999,KINGS POINT,NY,40.8,-73.77,37.9,36.3,42.6,0.0,0.0,8.1,11.1,0.0,0,0.0,0,1,0,0,0,0
1,1,767,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,29.3,21.0,34.0,11.4,0.0,10.0,17.1,25.1,0,0.0,0,0,0,0,1,0
12,1,262,997272,99999,BERGEN POINT,NY,40.639,-74.146,47.3,44.6,51.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
9,1,1261,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,83.4,73.0,97.0,65.6,0.0,5.2,14.0,19.0,0,0.0,0,0,0,0,1,0
9,1,970,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,79.1,68.0,95.0,67.0,0.0,4.5,14.0,0.0,1,0.0,0,0,0,1,0,0
9,1,1921,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,66.3,55.9,86.0,43.2,0.0,10.5,14.0,21.0,0,0.0,0,0,1,0,0,0
12,1,2231,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,53.6,45.0,62.1,43.6,0.0,7.0,20.0,28.0,1,0.0,0,0,1,0,0,0
7,1,300,997272,99999,BERGEN POINT,NY,40.639,-74.146,74.2,69.1,79.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
3,1,1066,997280,99999,KINGS POINT,NY,40.8,-73.77,50.5,42.4,56.7,0.0,0.0,9.6,15.0,0.0,0,0.0,0,1,0,0,0,0
3,1,214,997272,99999,BERGEN POINT,NY,40.639,-74.146,40.8,39.0,42.8,0.0,0.0,6.6,9.9,0.0,0,0.0,0,0,0,0,0,1
4,1,249,997272,99999,BERGEN POINT,NY,40.639,-74.146,38.6,35.8,44.6,0.0,0.0,9.4,14.0,0.0,0,0.0,0,0,0,0,0,1
7,1,1437,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,71.6,66.9,80.1,68.7,0.0,12.6,21.0,27.0,1,0.0,0,0,0,0,1,0
12,1,1528,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,47.9,34.0,53.1,42.2,0.08,9.7,15.0,22.0,1,0.0,0,0,0,0,1,0
11,1,1899,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,48.2,45.0,52.0,37.1,0.01,11.9,15.9,22.0,0,0.0,0,0,1,0,0,0
12,1,776,725060,94728,NEW YORK CENTRAL PARK,NY,40.779,-73.969,56.3,45.0,60.8,52.8,0.35,10.3,22.9,35.9,1,0.0,0,0,0,1,0,0
12,1,1428,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,40.639,-73.762,44.3,37.9,53.1,23.1,0.0,13.8,19.0,32.1,0,0.0,0,0,0,0,1,0
4,1,992,997280,99999,KINGS POINT,NY,40.8,-73.77,57.4,52.9,70.7,0.0,0.0,14.8,21.0,0.0,0,0.0,0,1,0,0,0,0
12,1,1338,997280,99999,KINGS POINT,NY,40.8,-73.77,51.7,49.1,55.4,0.0,0.0,10.6,21.0,0.0,0,0.0,0,1,0,0,0,0
3,1,1075,725053,94728,CENTRAL PARK,NY,40.779,-73.969,27.2,9.0,37.0,5.8,0.0,3.4,7.0,14.0,0,5.9,0,0,0,1,0,0
7,1,276,997272,99999,BERGEN POINT,NY,40.639,-74.146,80.0,75.0,86.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1
11,1,1046,997280,99999,KINGS POINT,NY,40.8,-73.77,48.8,46.0,51.8,0.0,0.0,9.5,15.0,0.0,0,0.0,0,1,0,0,0,0
